100 495
96 95 9
18 26 5
26 39 20
17 67 3
94 12 4
29 41 6
63 52 20
92 88 4
0 23 13
44 38 14
25 34 20
64 25 18
25 52 18
10 63 1
66 62 14
96 81 20
1 72 8
96 90 19
36 48 13
1 90 20
36 57 17
71 33 20
16 97 1
79 46 5
40 27 3
29 36 12
52 10 11
75 30 15
54 83 9
93 74 16
43 55 18
12 86 14
32 64 11
78 31 13
38 4 11
18 7 18
89 58 16
76 88 10
35 79 15
38 89 5
58 67 11
41 5 16
69 85 14
6 56 16
62 55 2
61 99 4
14 5 7
54 87 4
87 93 20
35 73 8
70 40 9
16 69 18
96 98 19
46 79 20
63 19 16
71 32 18
6 24 2
69 89 15
25 28 11
56 6 14
51 40 12
4 72 12
53 86 5
67 30 6
12 94 17
64 95 5
36 24 6
78 30 5
71 9 16
47 51 15
29 12 3
17 56 16
42 58 12
52 13 20
33 9 1
19 74 19
19 92 3
2 21 16
43 22 4
73 72 9
35 36 17
84 87 15
66 51 13
72 94 12
88 57 9
17 33 6
99 84 16
5 49 9
40 25 8
90 93 14
61 57 19
61 66 12
71 98 15
85 5 12
25 0 18
8 78 15
32 8 12
94 90 10
11 92 12
51 39 1
87 69 12
88 34 4
36 5 3
45 81 20
36 23 10
99 79 6
98 92 9
69 65 8
27 68 10
83 76 13
66 5 18
44 84 11
97 10 18
67 6 4
64 71 5
34 67 1
56 67 13
96 51 18
35 44 12
76 72 2
69 33 1
9 28 12
21 2 11
61 56 19
48 95 2
27 72 1
62 39 6
29 91 13
52 83 7
13 12 8
24 21 11
89 1 16
65 31 18
45 62 4
92 3 19
14 65 6
3 65 8
68 54 19
57 72 15
18 62 10
80 46 14
79 78 20
26 84 6
63 70 10
54 12 20
20 10 20
8 63 6
83 84 19
41 78 16
24 7 14
10 81 8
72 65 5
35 25 14
55 3 4
96 41 8
56 66 14
28 4 16
14 69 8
26 52 1
61 19 6
58 32 13
7 48 15
27 35 1
39 0 10
48 67 17
54 16 20
6 79 4
72 24 18
53 29 17
25 74 12
93 92 20
46 26 12
14 55 7
65 39 1
22 68 1
69 0 3
50 5 5
15 47 14
89 85 9
30 8 9
42 10 3
36 88 8
7 52 5
17 84 17
18 61 11
36 97 15
82 64 19
94 38 19
71 82 11
0 40 4
23 5 8
94 56 17
87 17 13
41 59 5
53 24 15
4 28 4
34 47 7
85 92 3
49 17 15
57 30 1
66 97 6
15 24 2
38 35 10
17 79 20
5 86 6
91 37 19
75 20 12
19 30 7
0 17 14
11 26 6
95 7 18
44 32 5
62 86 11
95 34 20
21 94 11
65 2 6
56 33 12
45 33 1
22 40 4
46 25 4
16 82 11
26 28 20
71 36 1
36 87 18
60 26 14
6 55 8
11 21 13
48 70 18
5 99 5
48 79 12
83 46 4
94 46 2
33 27 16
44 27 19
60 53 15
93 59 7
56 19 16
74 73 11
68 2 10
65 15 11
67 34 5
66 78 15
74 91 4
86 56 15
67 52 16
18 10 14
13 90 13
36 73 1
28 69 13
30 11 8
50 84 6
62 67 3
42 98 15
25 27 13
22 3 18
53 18 2
87 20 10
3 8 2
86 24 17
86 33 2
89 29 12
67 29 9
85 86 4
35 67 1
38 11 11
67 47 2
7 14 1
48 15 15
79 30 9
98 43 8
38 96 19
48 42 14
63 40 5
94 27 15
44 8 18
41 30 14
52 30 3
62 80 10
86 19 13
73 98 19
67 15 11
32 57 13
89 24 13
23 97 14
78 42 4
36 45 11
89 60 6
16 76 2
79 25 1
5 48 14
65 99 5
91 8 17
38 91 2
80 78 20
81 52 18
58 96 20
41 25 6
87 1 7
27 99 7
39 73 7
32 34 16
32 52 18
23 83 13
97 32 16
95 99 10
70 24 11
36 22 14
4 97 20
16 71 14
90 20 17
1 82 3
16 80 19
92 57 3
15 84 20
5 61 17
46 99 7
50 78 19
44 7 14
2 1 2
25 3 5
8 81 10
42 92 15
86 0 17
31 73 20
20 73 19
95 76 11
12 78 9
97 27 13
36 8 15
72 92 14
35 52 7
70 19 8
4 92 18
17 22 1
36 35 10
88 82 4
36 44 4
48 18 6
69 50 4
9 54 13
50 55 20
69 68 2
74 12 11
85 21 3
86 4 1
51 46 15
87 67 3
78 9 14
59 5 9
72 87 3
95 89 12
43 51 1
87 85 5
36 12 8
72 96 13
45 79 20
47 30 2
77 31 9
57 71 13
69 36 11
65 84 14
92 38 19
28 35 7
98 90 2
27 57 19
54 20 10
50 77 17
51 5 1
85 7 12
2 0 6
20 45 6
94 83 4
30 89 9
19 89 2
35 15 20
23 59 17
53 60 14
84 75 9
72 73 4
24 33 2
16 29 12
1 40 3
99 45 2
58 22 10
82 1 12
38 62 8
57 75 3
92 42 6
40 13 9
49 80 7
21 9 4
39 17 5
26 96 2
39 26 15
83 60 17
0 53 19
42 68 10
20 40 2
86 3 19
33 95 16
65 38 5
64 82 13
65 47 16
37 83 13
49 48 7
15 55 6
42 27 19
30 34 10
30 61 15
33 72 6
88 26 8
96 39 3
64 68 6
25 86 6
87 70 7
34 64 12
14 58 17
5 0 2
92 32 8
49 61 4
30 29 14
26 77 13
40 79 5
48 92 9
91 72 2
75 55 3
84 33 19
40 97 18
4 13 13
32 4 3
13 18 19
65 19 7
44 85 14
1 16 14
64 63 11
99 30 16
22 57 14
80 16 19
55 81 19
98 70 14
79 66 11
36 95 7
30 24 12
8 24 1
90 75 5
82 71 8
8 42 9
20 7 15
0 38 5
29 83 3
44 53 20
96 2 5
52 66 8
56 27 8
65 5 16
34 36 2
72 62 11
22 52 13
68 19 4
38 15 13
